"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"251","RT @CDCDirector: Latest #FluView: Influenza-like illnesses dropped from 6.4% to 5%. This is about the same level as the peak of last season…",FALSE,0,NA,2018-03-08 21:32:47,FALSE,NA,"971861309997375488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HomefrontHugs",74,TRUE,FALSE,NA,NA
"252","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:31:32,FALSE,NA,"971860998176067584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FidelisCare",350,TRUE,FALSE,NA,NA
"253","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:29:37,FALSE,NA,"971860512605659136",NA,"<a href=""https://prod1.sprinklr.com"" rel=""nofollow"">Sprinklr Prod1</a>","HHSGov",350,TRUE,FALSE,NA,NA
"254","RT @EmoryMedicine: This Tuesday (3/13) - ""A Conversation with the Nation's Chief Flu Fighter"" -- Daniel Jernigan, Director of the Influenza…",FALSE,0,NA,2018-03-08 21:26:09,FALSE,NA,"971859642342166534",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EmoryDeptofMed",3,TRUE,FALSE,NA,NA
"255","This Tuesday (3/13) - ""A Conversation with the Nation's Chief Flu Fighter"" -- Daniel Jernigan, Director of the Infl… https://t.co/vLFi0aOObg",FALSE,2,NA,2018-03-08 21:20:02,TRUE,NA,"971858102667628545",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","EmoryMedicine",3,FALSE,FALSE,NA,NA
"256","Drink Throat Coat Tea at the first sign of sore throat or cold/flu symptoms to help alleviate pain, inflammation, a… https://t.co/tD5pXya6q4",FALSE,0,NA,2018-03-08 21:07:14,TRUE,NA,"971854881953865729",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MediTeaShopify",0,FALSE,FALSE,NA,NA
"257","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:06:10,FALSE,NA,"971854612591468544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jberna13",350,TRUE,FALSE,NA,NA
"258","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:00:31,FALSE,NA,"971853192052002817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HabibEmre",350,TRUE,FALSE,NA,NA
"259","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 20:51:57,FALSE,NA,"971851036087369728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JuanAndreRincon",350,TRUE,FALSE,NA,NA
"260","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 20:45:22,FALSE,NA,"971849378842505216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HQSofLa",350,TRUE,FALSE,NA,NA
"261","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 20:42:14,FALSE,NA,"971848588753096706",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DrMuratDokdok",350,TRUE,FALSE,NA,NA
